Source,Target,Weight,Type
tweet4,tweet263,1.0,Undirected
tweet4,tweet264,1.0,Undirected
tweet4,tweet265,1.0,Undirected
tweet4,tweet266,1.0,Undirected
tweet4,tweet267,1.0,Undirected
tweet4,tweet270,1.0,Undirected
tweet4,tweet273,1.0,Undirected
tweet4,tweet274,1.0,Undirected
tweet4,tweet277,1.0,Undirected
tweet4,tweet278,1.0,Undirected
tweet4,tweet279,1.0,Undirected
tweet4,tweet280,1.0,Undirected
tweet4,tweet281,1.0,Undirected
tweet4,tweet282,1.0,Undirected
tweet4,tweet286,1.0,Undirected
tweet4,tweet287,1.0,Undirected
tweet4,tweet288,1.0,Undirected
tweet4,tweet289,1.0,Undirected
tweet4,tweet290,1.0,Undirected
tweet4,tweet291,1.0,Undirected
tweet4,tweet292,1.0,Undirected
tweet4,tweet296,1.0,Undirected
tweet4,tweet297,1.0,Undirected
tweet4,tweet298,1.0,Undirected
tweet4,tweet300,1.0,Undirected
tweet4,tweet301,1.0,Undirected
tweet4,tweet302,1.0,Undirected
tweet4,tweet306,1.0,Undirected
tweet4,tweet307,1.0,Undirected
tweet4,tweet308,1.0,Undirected
tweet4,tweet309,1.0,Undirected
tweet4,tweet310,1.0,Undirected
tweet4,tweet314,1.0,Undirected
tweet4,tweet316,1.0,Undirected
tweet4,tweet318,1.0,Undirected
tweet4,tweet321,1.0,Undirected
tweet4,tweet322,1.0,Undirected
tweet4,tweet325,1.0,Undirected
tweet4,tweet326,1.0,Undirected
tweet4,tweet327,1.0,Undirected
tweet4,tweet328,1.0,Undirected
tweet4,tweet329,1.0,Undirected
tweet4,tweet331,1.0,Undirected
tweet4,tweet332,1.0,Undirected
tweet4,tweet333,1.0,Undirected
tweet4,tweet334,1.0,Undirected
tweet4,tweet335,1.0,Undirected
tweet4,tweet340,1.0,Undirected
tweet4,tweet342,1.0,Undirected
tweet4,tweet345,1.0,Undirected
tweet4,tweet346,1.0,Undirected
tweet4,tweet347,1.0,Undirected
tweet4,tweet348,1.0,Undirected
tweet4,tweet349,1.0,Undirected
tweet4,tweet350,1.0,Undirected
tweet4,tweet353,1.0,Undirected
tweet4,tweet358,1.0,Undirected
tweet4,tweet359,1.0,Undirected
tweet4,tweet361,1.0,Undirected
tweet4,tweet363,1.0,Undirected
tweet4,tweet364,1.0,Undirected
tweet4,tweet367,1.0,Undirected
tweet4,tweet368,1.0,Undirected
tweet4,tweet373,1.0,Undirected
tweet4,tweet375,1.0,Undirected
tweet4,tweet376,1.0,Undirected
tweet4,tweet377,1.0,Undirected
tweet4,tweet378,1.0,Undirected
tweet4,tweet379,1.0,Undirected
tweet4,tweet381,1.0,Undirected
tweet4,tweet382,1.0,Undirected
tweet4,tweet383,1.0,Undirected
tweet4,tweet384,1.0,Undirected
tweet4,tweet385,1.0,Undirected
tweet4,tweet386,1.0,Undirected
tweet4,tweet387,1.0,Undirected
tweet4,tweet389,1.0,Undirected
tweet4,tweet391,1.0,Undirected
tweet4,tweet392,1.0,Undirected
tweet4,tweet393,1.0,Undirected
tweet4,tweet394,1.0,Undirected
tweet4,tweet395,1.0,Undirected
tweet4,tweet396,1.0,Undirected
tweet4,tweet397,1.0,Undirected
tweet4,tweet398,1.0,Undirected
tweet4,tweet400,1.0,Undirected
tweet4,tweet402,1.0,Undirected
tweet4,tweet403,1.0,Undirected
tweet4,tweet404,1.0,Undirected
tweet4,tweet408,1.0,Undirected
tweet4,tweet410,1.0,Undirected
tweet4,tweet411,1.0,Undirected
tweet4,tweet413,1.0,Undirected
tweet4,tweet417,1.0,Undirected
