Source,Target,Weight,Type
tweet7,tweet209,1.0,Undirected
tweet7,tweet222,1.0,Undirected
tweet7,tweet227,1.0,Undirected
tweet7,tweet228,1.0,Undirected
tweet7,tweet253,1.0,Undirected
tweet7,tweet257,1.0,Undirected
tweet7,tweet268,1.0,Undirected
tweet7,tweet287,1.0,Undirected
tweet7,tweet294,1.0,Undirected
tweet7,tweet301,1.0,Undirected
tweet7,tweet312,1.0,Undirected
tweet7,tweet324,1.0,Undirected
tweet7,tweet330,1.0,Undirected
tweet7,tweet332,1.0,Undirected
tweet7,tweet339,1.0,Undirected
tweet7,tweet344,1.0,Undirected
tweet7,tweet351,1.0,Undirected
tweet7,tweet355,1.0,Undirected
tweet7,tweet364,1.0,Undirected
tweet7,tweet388,1.0,Undirected
tweet7,tweet401,1.0,Undirected
tweet7,tweet405,1.0,Undirected
tweet7,tweet414,1.0,Undirected
tweet7,tweet416,1.0,Undirected
tweet7,tweet420,1.0,Undirected
tweet7,tweet431,1.0,Undirected
tweet7,tweet434,1.0,Undirected
tweet7,tweet436,1.0,Undirected
tweet7,tweet441,1.0,Undirected
tweet7,tweet452,1.0,Undirected
tweet7,tweet466,1.0,Undirected
tweet7,tweet467,1.0,Undirected
tweet7,tweet469,1.0,Undirected
tweet7,tweet470,1.0,Undirected
tweet7,tweet474,1.0,Undirected
tweet7,tweet485,1.0,Undirected
tweet7,tweet491,1.0,Undirected
tweet7,tweet494,1.0,Undirected
tweet7,tweet497,1.0,Undirected
tweet7,tweet500,1.0,Undirected
tweet7,tweet505,1.0,Undirected
tweet7,tweet506,1.0,Undirected
tweet7,tweet508,1.0,Undirected
tweet7,tweet509,1.0,Undirected
tweet7,tweet510,1.0,Undirected
tweet7,tweet512,1.0,Undirected
tweet7,tweet514,1.0,Undirected
tweet7,tweet515,1.0,Undirected
tweet7,tweet517,1.0,Undirected
tweet7,tweet518,1.0,Undirected
tweet7,tweet523,1.0,Undirected
tweet7,tweet529,1.0,Undirected
tweet7,tweet534,1.0,Undirected
tweet7,tweet537,1.0,Undirected
tweet7,tweet539,1.0,Undirected
tweet7,tweet540,1.0,Undirected
tweet7,tweet542,1.0,Undirected
tweet7,tweet548,1.0,Undirected
tweet7,tweet552,1.0,Undirected
tweet7,tweet562,1.0,Undirected
tweet7,tweet563,1.0,Undirected
tweet7,tweet565,1.0,Undirected
tweet7,tweet567,1.0,Undirected
tweet7,tweet570,1.0,Undirected
tweet7,tweet571,1.0,Undirected
tweet7,tweet572,1.0,Undirected
tweet7,tweet575,1.0,Undirected
tweet7,tweet582,1.0,Undirected
tweet7,tweet584,1.0,Undirected
tweet7,tweet591,1.0,Undirected
tweet7,tweet599,1.0,Undirected
tweet7,tweet600,1.0,Undirected
tweet7,tweet603,1.0,Undirected
tweet7,tweet605,1.0,Undirected
tweet7,tweet607,1.0,Undirected
tweet7,tweet613,1.0,Undirected
tweet7,tweet626,1.0,Undirected
tweet7,tweet627,1.0,Undirected
tweet7,tweet629,1.0,Undirected
tweet7,tweet632,1.0,Undirected
tweet7,tweet633,1.0,Undirected
